serotype	study	true_rho_ij	true_nu_j	true_r_i	carriage_samples	surveillance_population	time_interval	carriage	disease	rho	rho_lower	rho_upper	gamma	gamma_lower	gamma_upper	nu	nu_lower	nu_upper	rho_diff	nu_diff	r_diff
Serotype_20	Population_A	0.0072762124822475	0.0261759830892973	1	955	72100	1	3	14	0.00650885543192995	0.0038063541735854	0.0103696423812121	1	1	1	0.0244249330292714	0.0182691525923247	0.0321660643182578	0.105461055760776	0.0668952930651098	0
Serotype_1	Population_B	0.0322225386276841	0.00192366131736158	0.438525533254239	965	375151	1	26	9	0.0276593575867948	0.0194913017866518	0.0380024747361103	0.495763691213493	0.37295455697372	0.663914856689029	0.00173321520155694	0.00128680277912958	0.00231334817707903	0.141614572756501	0.0990018950247726	0.130524116884363
Serotype_2	Population_B	0.0492681970703416	7.10537281277665e-05	0.438525533254239	965	375151	1	46	0	0.0477946859903938	0.0356601321194088	0.0621723109962609	0.495763691213493	0.37295455697372	0.663914856689029	5.20167954654757e-05	3.82250562503268e-05	7.05204459045807e-05	0.0299079561982754	0.267923065599868	0.130524116884363
Serotype_3	Population_B	0.0241376186022535	0.00166667292466383	0.438525533254239	965	375151	1	24	11	0.0279339449943856	0.0194895340568996	0.0383579590964852	0.495763691213493	0.37295455697372	0.663914856689029	0.00164820468344657	0.0012163068672458	0.00222894893980636	0.157278414854798	0.0110809031237994	0.130524116884363
Serotype_4	Population_B	0.0277503171470016	0.000624277781675576	0.438525533254239	965	375151	1	19	5	0.0229045062211191	0.0150788126764098	0.0331137162626714	0.495763691213493	0.37295455697372	0.663914856689029	0.000581577710132851	0.000424864771222456	0.000789824645956144	0.17462182144488	0.0683991530631067	0.130524116884363
Serotype_5	Population_B	0.0457573050982319	0.000361271220343049	0.438525533254239	965	375151	1	54	0	0.0538568821723013	0.0413160951800787	0.0689501412962952	0.495763691213493	0.37295455697372	0.663914856689029	0.000280189243545696	0.000202393196812921	0.000384094158184984	0.177011671834284	0.224435195032588	0.130524116884363
Serotype_6	Population_B	0.0383026393712498	0.0551160483973277	0.438525533254239	965	375151	1	37	369	0.0388001451786011	0.0323605888791359	0.0463651531576856	0.495763691213493	0.37295455697372	0.663914856689029	0.0511536943694845	0.0387478579765311	0.0673459199702064	0.0129888126645569	0.0718911123540436	0.130524116884363
Serotype_7	Population_B	0.0187758074258454	1.69363031133799e-05	0.438525533254239	965	375151	1	22	0	0.0234126575736268	0.0151131516569354	0.0340718009942504	0.495763691213493	0.37295455697372	0.663914856689029	1.39089866574858e-05	9.10214005873963e-06	2.19695732055648e-05	0.24695876148573	0.178747182051938	0.130524116884363
Serotype_8	Population_B	0.0242030469351448	0.00609865355644351	0.438525533254239	965	375151	1	27	28	0.0266728689055007	0.0199584633617088	0.034851638210245	0.495763691213493	0.37295455697372	0.663914856689029	0.00603879161204174	0.00450197714951428	0.0079008874266026	0.102045910871226	0.00981560009069849	0.130524116884363
Serotype_9	Population_B	0.0419272088445723	0.00768771721786772	0.438525533254239	965	375151	1	31	56	0.0393980831004165	0.0312039054342583	0.048872014386446	0.495763691213493	0.37295455697372	0.663914856689029	0.00675694860442356	0.00506721565131642	0.00883160864048791	0.0603218247494489	0.121072170979557	0.130524116884363
Serotype_10	Population_B	0.00192810532171279	0.00915736905140876	0.438525533254239	965	375151	1	1	3	0.00187483191945952	0.000633591611538808	0.0041760650856929	0.495763691213493	0.37295455697372	0.663914856689029	0.0082163744538578	0.00621472054750483	0.0107861084766282	0.0276299233518794	0.102758182210227	0.130524116884363
Serotype_11	Population_B	0.0325825384934433	0.00522944348484999	0.438525533254239	965	375151	1	27	24	0.0275819060346708	0.0205536916157557	0.0362628736604046	0.495763691213493	0.37295455697372	0.663914856689029	0.00487202874641886	0.00361226881702506	0.00655189242901793	0.153475839820732	0.0683466107754254	0.130524116884363
Serotype_12	Population_B	0.0114154860028066	0.00171333895893638	0.438525533254239	965	375151	1	16	4	0.0166322786075798	0.0103694827674269	0.0251142751831529	0.495763691213493	0.37295455697372	0.663914856689029	0.00149725683293622	0.00110914895281043	0.00197976180231969	0.456992597905219	0.126117558275976	0.130524116884363
Serotype_13	Population_B	0.0346443257411011	0.0211797975556686	0.438525533254239	965	375151	1	39	132	0.0381513525812657	0.0313204337426854	0.0464871436225046	0.495763691213493	0.37295455697372	0.663914856689029	0.0190169945513177	0.0144103093434709	0.024745261222286	0.101229473085226	0.102116320926406	0.130524116884363
Serotype_14	Population_B	0.0181512338807806	1.51053280711885e-05	0.438525533254239	965	375151	1	23	0	0.0244657170363399	0.0159623558477356	0.0357772878525008	0.495763691213493	0.37295455697372	0.663914856689029	1.38584668774417e-05	9.60248219858547e-06	1.99049624966158e-05	0.347881758178728	0.082544462978267	0.130524116884363
Serotype_15	Population_B	0.0153445535339415	0.00159293845675666	0.438525533254239	965	375151	1	11	2	0.0112453292422214	0.00630201526767252	0.0183020520362889	0.495763691213493	0.37295455697372	0.663914856689029	0.00136789780107605	0.00100960397779988	0.00182389032482812	0.26714523056359	0.141273917222643	0.130524116884363
Serotype_16	Population_B	0.0205883290385827	2.15697089724176e-05	0.438525533254239	965	375151	1	24	0	0.0254939038865627	0.0167376722485729	0.0365424221123295	0.495763691213493	0.37295455697372	0.663914856689029	1.79975959385049e-05	1.26896853328877e-05	2.5451226639741e-05	0.238269693416443	0.165607845635773	0.130524116884363
Serotype_17	Population_B	0.0191243806388229	4.96360232812137e-05	0.438525533254239	965	375151	1	20	0	0.0212175707541257	0.0134744214931808	0.0315663449219615	0.495763691213493	0.37295455697372	0.663914856689029	3.84793156633784e-05	2.72757253718684e-05	5.37476724380979e-05	0.109451393738396	0.224770376035704	0.130524116884363
Serotype_18	Population_B	0.0278499546227977	0.0284992836819387	0.438525533254239	965	375151	1	28	154	0.0330846502706848	0.0268117218886644	0.0402554314957106	0.495763691213493	0.37295455697372	0.663914856689029	0.0245787519533217	0.0184562071574966	0.0319522972292769	0.187960652675608	0.137565974372249	0.130524116884363
Serotype_19	Population_B	0.0285129898344167	0.00499501697873601	0.438525533254239	965	375151	1	30	24	0.0314088154315611	0.023579731017283	0.0410406476042103	0.495763691213493	0.37295455697372	0.663914856689029	0.00415461604499282	0.00307275702640689	0.00550680619628927	0.101561625559485	0.168247863284713	0.130524116884363
Serotype_20	Population_B	0.0183178752893582	0.0261759830892973	0.438525533254239	965	375151	1	21	92	0.0206720487839003	0.0163514132051232	0.0259961173701279	0.495763691213493	0.37295455697372	0.663914856689029	0.0244249330292714	0.0182691525923247	0.0321660643182578	0.128517825203763	0.0668952930651098	0.130524116884363
Serotype_1	Population_C	0.0318577995058149	0.00192366131736158	0.526077831907325	1070	77460	1	33	4	0.0329702519753576	0.0237916201417577	0.0443403319481355	0.487255855326566	0.350284611902608	0.679182738405444	0.00173321520155694	0.00128680277912958	0.00231334817707903	0.0349193129092178	0.0990018950247726	0.0737951197069226
Serotype_2	Population_C	0.0226776327239349	7.10537281277665e-05	0.526077831907325	1070	77460	1	22	0	0.0211426084649163	0.0135244777927675	0.030978811717898	0.487255855326566	0.350284611902608	0.679182738405444	5.20167954654757e-05	3.82250562503268e-05	7.05204459045807e-05	0.0676889108182152	0.267923065599868	0.0737951197069226
Serotype_3	Population_C	0.00458604036830366	0.00166667292466383	0.526077831907325	1070	77460	1	3	0	0.00323972279775391	0.000999425584360589	0.00764505864153054	0.487255855326566	0.350284611902608	0.679182738405444	0.00164820468344657	0.0012163068672458	0.00222894893980636	0.293568626184539	0.0110809031237994	0.0737951197069226
Serotype_4	Population_C	0.0031120166531764	0.000624277781675576	0.526077831907325	1070	77460	1	3	0	0.00335978487173339	0.000973489532413056	0.008157596326224	0.487255855326566	0.350284611902608	0.679182738405444	0.000581577710132851	0.000424864771222456	0.000789824645956144	0.0796166107607731	0.0683991530631067	0.0737951197069226
Serotype_5	Population_C	0.0471984163159505	0.000361271220343049	0.526077831907325	1070	77460	1	52	1	0.0496078358389006	0.0375699412123104	0.0637119237411339	0.487255855326566	0.350284611902608	0.679182738405444	0.000280189243545696	0.000202393196812921	0.000384094158184984	0.0510487366105943	0.224435195032588	0.0737951197069226
Serotype_6	Population_C	0.0139290845836513	0.0551160483973277	0.526077831907325	1070	77460	1	16	28	0.0148146039129398	0.0104450997033422	0.0203890987369968	0.487255855326566	0.350284611902608	0.679182738405444	0.0511536943694845	0.0387478579765311	0.0673459199702064	0.0635734045529374	0.0718911123540436	0.0737951197069226
Serotype_7	Population_C	0.0322776371380314	1.69363031133799e-05	0.526077831907325	1070	77460	1	37	0	0.0350840916316241	0.0251227749955119	0.0472061777282748	0.487255855326566	0.350284611902608	0.679182738405444	1.39089866574858e-05	9.10214005873963e-06	2.19695732055648e-05	0.0869473338953272	0.178747182051938	0.0737951197069226
Serotype_8	Population_C	0.0116216049762443	0.00609865355644351	0.526077831907325	1070	77460	1	15	0	0.0120415174507875	0.00720945649962435	0.0190819641421776	0.487255855326566	0.350284611902608	0.679182738405444	0.00603879161204174	0.00450197714951428	0.0079008874266026	0.036132055374589	0.00981560009069849	0.0737951197069226
Serotype_9	Population_C	0.0340815762523562	0.00768771721786772	0.526077831907325	1070	77460	1	44	8	0.0396871061728407	0.0296536969393619	0.0516707716290101	0.487255855326566	0.350284611902608	0.679182738405444	0.00675694860442356	0.00506721565131642	0.00883160864048791	0.164473904580543	0.121072170979557	0.0737951197069226
Serotype_10	Population_C	0.0368539439863525	0.00915736905140876	0.526077831907325	1070	77460	1	32	12	0.0321781123732958	0.0235595612910022	0.0426085002578862	0.487255855326566	0.350284611902608	0.679182738405444	0.0082163744538578	0.00621472054750483	0.0107861084766282	0.126874660003506	0.102758182210227	0.0737951197069226
Serotype_11	Population_C	0.0313031798927113	0.00522944348484999	0.526077831907325	1070	77460	1	31	9	0.032206620371415	0.0235375467909216	0.0428801859473064	0.487255855326566	0.350284611902608	0.679182738405444	0.00487202874641886	0.00361226881702506	0.00655189242901793	0.028860980954654	0.0683466107754254	0.0737951197069226
Serotype_12	Population_C	0.0120771924150176	0.00171333895893638	0.526077831907325	1070	77460	1	18	0	0.0165739829336059	0.0101336705910204	0.0253386427937703	0.487255855326566	0.350284611902608	0.679182738405444	0.00149725683293622	0.00110914895281043	0.00197976180231969	0.372337407905885	0.126117558275976	0.0737951197069226
Serotype_13	Population_C	0.0478680737083778	0.0211797975556686	0.526077831907325	1070	77460	1	59	46	0.058803428890181	0.047792726750533	0.0719623661008155	0.487255855326566	0.350284611902608	0.679182738405444	0.0190169945513177	0.0144103093434709	0.024745261222286	0.228447780214087	0.102116320926406	0.0737951197069226
Serotype_14	Population_C	0.0298971617012285	1.51053280711885e-05	0.526077831907325	1070	77460	1	22	0	0.0211449156696404	0.0138019156742906	0.0308829569871391	0.487255855326566	0.350284611902608	0.679182738405444	1.38584668774417e-05	9.60248219858547e-06	1.99049624966158e-05	0.292745047809287	0.082544462978267	0.0737951197069226
Serotype_15	Population_C	0.0434142664424144	0.00159293845675666	0.526077831907325	1070	77460	1	42	1	0.0389827214271404	0.0284087627159059	0.0514981852365734	0.487255855326566	0.350284611902608	0.679182738405444	0.00136789780107605	0.00100960397779988	0.00182389032482812	0.102075777812625	0.141273917222643	0.0737951197069226
Serotype_16	Population_C	0.0283990809111856	2.15697089724176e-05	0.526077831907325	1070	77460	1	31	0	0.0295610145439112	0.0206748026019544	0.040730899943305	0.487255855326566	0.350284611902608	0.679182738405444	1.79975959385049e-05	1.26896853328877e-05	2.5451226639741e-05	0.0409144801678409	0.165607845635773	0.0737951197069226
Serotype_17	Population_C	0.0452540355734527	4.96360232812137e-05	0.526077831907325	1070	77460	1	45	0	0.0425692891007672	0.031780032768264	0.0555234876387187	0.487255855326566	0.350284611902608	0.679182738405444	3.84793156633784e-05	2.72757253718684e-05	5.37476724380979e-05	0.0593261228234085	0.224770376035704	0.0737951197069226
Serotype_18	Population_C	0.00303050444927067	0.0284992836819387	0.526077831907325	1070	77460	1	1	2	0.00181820361375775	0.000535582600301168	0.0043694306628059	0.487255855326566	0.350284611902608	0.679182738405444	0.0245787519533217	0.0184562071574966	0.0319522972292769	0.400032686242936	0.137565974372249	0.0737951197069226
Serotype_19	Population_C	0.00947072863345966	0.00499501697873601	0.526077831907325	1070	77460	1	13	0	0.0111190601971553	0.00626500746626469	0.0180277644517023	0.487255855326566	0.350284611902608	0.679182738405444	0.00415461604499282	0.00307275702640689	0.00550680619628927	0.174044852037272	0.168247863284713	0.0737951197069226
Serotype_20	Population_C	0.0274302609846927	0.0261759830892973	0.526077831907325	1070	77460	1	34	29	0.0318575567929231	0.0241731856621864	0.0410402586155433	0.487255855326566	0.350284611902608	0.679182738405444	0.0244249330292714	0.0182691525923247	0.0321660643182578	0.161401884243863	0.0668952930651098	0.0737951197069226
Serotype_1	Population_D	0.00792214482789859	0.00192366131736158	3.64302469360496	1395	126564	1	9	10	0.00848954848916306	0.00528659571953774	0.0129203852793186	4.14028382196355	3.15769399795239	5.50804891130066	0.00173321520155694	0.00128680277912958	0.00231334817707903	0.0716224802235759	0.0990018950247726	0.136496227772349
Serotype_2	Population_D	0.0270265608094633	7.10537281277665e-05	3.64302469360496	1395	126564	1	30	1	0.0222578349380993	0.0155143731326748	0.030805792089983	4.14028382196355	3.15769399795239	5.50804891130066	5.20167954654757e-05	3.82250562503268e-05	7.05204459045807e-05	0.176445900941055	0.267923065599868	0.136496227772349
Serotype_3	Population_D	0.0158902276190929	0.00166667292466383	3.64302469360496	1395	126564	1	26	15	0.0184214365711664	0.0132561174996921	0.0246444968946526	4.14028382196355	3.15769399795239	5.50804891130066	0.00164820468344657	0.0012163068672458	0.00222894893980636	0.159293435736072	0.0110809031237994	0.136496227772349
Serotype_4	Population_D	0.0133766027982347	0.000624277781675576	3.64302469360496	1395	126564	1	9	3	0.00745602916922733	0.00409198706801107	0.0122400359476587	4.14028382196355	3.15769399795239	5.50804891130066	0.000581577710132851	0.000424864771222456	0.000789824645956144	0.442606670640522	0.0683991530631067	0.136496227772349
Serotype_5	Population_D	0.0481973820948042	0.000361271220343049	3.64302469360496	1395	126564	1	67	6	0.0477350204890192	0.0377157181515161	0.0590073449622248	4.14028382196355	3.15769399795239	5.50804891130066	0.000280189243545696	0.000202393196812921	0.000384094158184984	0.0095930854683254	0.224435195032588	0.136496227772349
Serotype_6	Population_D	0.0351819290430285	0.0551160483973277	3.64302469360496	1395	126564	1	49	893	0.0334265179479644	0.0285942688914453	0.0389428338760096	4.14028382196355	3.15769399795239	5.50804891130066	0.0511536943694845	0.0387478579765311	0.0673459199702064	0.0498952485782455	0.0718911123540436	0.136496227772349
Serotype_7	Population_D	0.00204682376934215	1.69363031133799e-05	3.64302469360496	1395	126564	1	1	0	0.00120247446135887	0.000168410288775768	0.00400630349628146	4.14028382196355	3.15769399795239	5.50804891130066	1.39089866574858e-05	9.10214005873963e-06	2.19695732055648e-05	0.412516856912728	0.178747182051938	0.136496227772349
Serotype_8	Population_D	0.0261694009066559	0.00609865355644351	3.64302469360496	1395	126564	1	28	80	0.0237956379039281	0.0190656844624673	0.0293515017378632	4.14028382196355	3.15769399795239	5.50804891130066	0.00603879161204174	0.00450197714951428	0.0079008874266026	0.0907075790995308	0.00981560009069849	0.136496227772349
Serotype_9	Population_D	0.0317030120640993	0.00768771721786772	3.64302469360496	1395	126564	1	41	114	0.0314857416752551	0.0259327275935621	0.0381356828354512	4.14028382196355	3.15769399795239	5.50804891130066	0.00675694860442356	0.00506721565131642	0.00883160864048791	0.00685330429818171	0.121072170979557	0.136496227772349
Serotype_10	Population_D	0.0216411999543197	0.00915736905140876	3.64302469360496	1395	126564	1	37	84	0.0213354087246756	0.0171005908847633	0.0262832902428206	4.14028382196355	3.15769399795239	5.50804891130066	0.0082163744538578	0.00621472054750483	0.0107861084766282	0.014130049640945	0.102758182210227	0.136496227772349
Serotype_11	Population_D	0.0176143828430213	0.00522944348484999	3.64302469360496	1395	126564	1	28	48	0.0193338406539354	0.0148778880497028	0.0246957032853869	4.14028382196355	3.15769399795239	5.50804891130066	0.00487202874641886	0.00361226881702506	0.00655189242901793	0.0976166934849666	0.0683466107754254	0.136496227772349
Serotype_12	Population_D	0.0293468654039316	0.00171333895893638	3.64302469360496	1395	126564	1	36	14	0.0232545916394689	0.0173191777812977	0.0304698371522906	4.14028382196355	3.15769399795239	5.50804891130066	0.00149725683293622	0.00110914895281043	0.00197976180231969	0.207595383036941	0.126117558275976	0.136496227772349
Serotype_13	Population_D	0.0276714506442659	0.0211797975556686	3.64302469360496	1395	126564	1	30	258	0.0254033564826509	0.0212987463824182	0.0301383184694544	4.14028382196355	3.15769399795239	5.50804891130066	0.0190169945513177	0.0144103093434709	0.024745261222286	0.0819651340572203	0.102116320926406	0.136496227772349
Serotype_14	Population_D	0.0118981225183234	1.51053280711885e-05	3.64302469360496	1395	126564	1	17	0	0.0126176777385487	0.0076452995912401	0.0194114796375764	4.14028382196355	3.15769399795239	5.50804891130066	1.38584668774417e-05	9.60248219858547e-06	1.99049624966158e-05	0.0604763666803089	0.082544462978267	0.136496227772349
Serotype_15	Population_D	0.0319126697140746	0.00159293845675666	3.64302469360496	1395	126564	1	41	22	0.0301295292569705	0.0233472436136698	0.038271885961731	4.14028382196355	3.15769399795239	5.50804891130066	0.00136789780107605	0.00100960397779988	0.00182389032482812	0.0558756278644303	0.141273917222643	0.136496227772349
Serotype_16	Population_D	0.0273286697803997	2.15697089724176e-05	3.64302469360496	1395	126564	1	39	0	0.0281587627812787	0.0205961667196014	0.0373848391256661	4.14028382196355	3.15769399795239	5.50804891130066	1.79975959385049e-05	1.26896853328877e-05	2.5451226639741e-05	0.0303744385493068	0.165607845635773	0.136496227772349
Serotype_17	Population_D	0.00319742342690006	4.96360232812137e-05	3.64302469360496	1395	126564	1	4	0	0.00328491977550244	0.00114764495797707	0.00713714309526495	4.14028382196355	3.15769399795239	5.50804891130066	3.84793156633784e-05	2.72757253718684e-05	5.37476724380979e-05	0.0273646423761925	0.224770376035704	0.136496227772349
Serotype_18	Population_D	0.0461338208056986	0.0284992836819387	3.64302469360496	1395	126564	1	51	623	0.0472992993844361	0.040875037637489	0.0545923898706533	4.14028382196355	3.15769399795239	5.50804891130066	0.0245787519533217	0.0184562071574966	0.0319522972292769	0.0252629970460526	0.137565974372249	0.136496227772349
Serotype_19	Population_D	0.0492606148705818	0.00499501697873601	3.64302469360496	1395	126564	1	65	78	0.0402663490041029	0.0329198480733684	0.0484797064159638	4.14028382196355	3.15769399795239	5.50804891130066	0.00415461604499282	0.00307275702640689	0.00550680619628927	0.182585334959962	0.168247863284713	0.136496227772349
Serotype_20	Population_D	0.0123245313880034	0.0261759830892973	3.64302469360496	1395	126564	1	15	152	0.0117967236002867	0.00955825724627626	0.0145356244101998	4.14028382196355	3.15769399795239	5.50804891130066	0.0244249330292714	0.0182691525923247	0.0321660643182578	0.0428257895655533	0.0668952930651098	0.136496227772349
Serotype_1	Population_E	0.0304442405817099	0.00192366131736158	1436.68464604083	853	166373	1	28	13887	0.0283109944448421	0.023629048122774	0.0335521212815808	1704.31128301522	1300.31540596049	2236.30745780508	0.00173321520155694	0.00128680277912958	0.00231334817707903	0.0700705977914731	0.0990018950247726	0.186280710740459
Serotype_2	Population_E	0.0414001481141895	7.10537281277665e-05	1436.68464604083	853	166373	1	45	666	0.0456681278432083	0.0377166476906304	0.0548307349369465	1704.31128301522	1300.31540596049	2236.30745780508	5.20167954654757e-05	3.82250562503268e-05	7.05204459045807e-05	0.10309092898042	0.267923065599868	0.186280710740459
Serotype_3	Population_E	0.0393139221821912	0.00166667292466383	1436.68464604083	853	166373	1	29	15561	0.0333884307006402	0.0275347259278437	0.0401435789542504	1704.31128301522	1300.31540596049	2236.30745780508	0.00164820468344657	0.0012163068672458	0.00222894893980636	0.150722470632431	0.0110809031237994	0.186280710740459
Serotype_4	Population_E	0.0206521229702048	0.000624277781675576	1436.68464604083	853	166373	1	16	3103	0.018842419758024	0.0153950706592699	0.022952184794617	1704.31128301522	1300.31540596049	2236.30745780508	0.000581577710132851	0.000424864771222456	0.000789824645956144	0.0876279506369243	0.0683991530631067	0.186280710740459
Serotype_5	Population_E	0.0163481434574351	0.000361271220343049	1436.68464604083	853	166373	1	15	1439	0.0181391356585698	0.0145868392606198	0.0223889727057774	1704.31128301522	1300.31540596049	2236.30745780508	0.000280189243545696	0.000202393196812921	0.000384094158184984	0.109553247180503	0.224435195032588	0.186280710740459
Serotype_6	Population_E	0.0117069908883423	0.0551160483973277	1436.68464604083	853	166373	1	6	154448	0.0106802353934602	0.00910978409139082	0.0123684573684632	1704.31128301522	1300.31540596049	2236.30745780508	0.0511536943694845	0.0387478579765311	0.0673459199702064	0.0877044754433451	0.0718911123540436	0.186280710740459
Serotype_7	Population_E	0.00736495895544067	1.69363031133799e-05	1436.68464604083	853	166373	1	4	27	0.00654251446249539	0.00409699198817292	0.0102175527461343	1704.31128301522	1300.31540596049	2236.30745780508	1.39089866574858e-05	9.10214005873963e-06	2.19695732055648e-05	0.111669935694308	0.178747182051938	0.186280710740459
Serotype_8	Population_E	0.0483447378268465	0.00609865355644351	1436.68464604083	853	166373	1	30	70368	0.0412376245282635	0.035194138242269	0.0477359258380695	1704.31128301522	1300.31540596049	2236.30745780508	0.00603879161204174	0.00450197714951428	0.0079008874266026	0.147009035896279	0.00981560009069849	0.186280710740459
Serotype_9	Population_E	0.0458094580215402	0.00768771721786772	1436.68464604083	853	166373	1	31	84168	0.0440168182196938	0.0377663526294769	0.0508588202335922	1704.31128301522	1300.31540596049	2236.30745780508	0.00675694860442356	0.00506721565131642	0.00883160864048791	0.0391325258858874	0.121072170979557	0.186280710740459
Serotype_10	Population_E	0.0154266498167999	0.00915736905140876	1436.68464604083	853	166373	1	16	33620	0.014445153182368	0.0123440460645344	0.0168713377560957	1704.31128301522	1300.31540596049	2236.30745780508	0.0082163744538578	0.00621472054750483	0.0107861084766282	0.0636234468330929	0.102758182210227	0.186280710740459
Serotype_11	Population_E	0.0051391840679571	0.00522944348484999	1436.68464604083	853	166373	1	0	6340	0.00458707267037701	0.00378752566024075	0.00553415930533536	1704.31128301522	1300.31540596049	2236.30745780508	0.00487202874641886	0.00361226881702506	0.00655189242901793	0.107431722678025	0.0683466107754254	0.186280710740459
Serotype_12	Population_E	0.0453350766096264	0.00171333895893638	1436.68464604083	853	166373	1	34	18514	0.0437363265928478	0.0372573362672831	0.0510746388760757	1704.31128301522	1300.31540596049	2236.30745780508	0.00149725683293622	0.00110914895281043	0.00197976180231969	0.0352651883782	0.126117558275976	0.186280710740459
Serotype_13	Population_E	0.00767883700318635	0.0211797975556686	1436.68464604083	853	166373	1	6	38996	0.0072507468999163	0.0062564179762991	0.008455836285507	1704.31128301522	1300.31540596049	2236.30745780508	0.0190169945513177	0.0144103093434709	0.024745261222286	0.0557493410906373	0.102116320926406	0.186280710740459
