serotype	study	gene1	true_rho_ijg1	true_nu_j	true_r_i	carriage_samples	surveillance_population	time_interval	true_nu_g1	carriage	disease	rho	rho_lower	rho_upper	gamma	gamma_lower	gamma_upper	nu_j	nu_j_lower	nu_j_upper	nu_g1	nu_g1_lower	nu_g1_upper	rho_diff	nu_j_diff	nu_g1_diff	r_diff
Serotype_3	Population_A	Gene1_A	0.0241376186022535	0.00166667292466383	1	955	72100	2	0.0553	21	1	0.0234311333501001	0.0152375992497096	0.0338924799833804	1	1	1	0.000151818440547293	2.78259432827072e-05	0.000835717634048202	0.566934532128159	0.128320255210688	2.07508359372912	0.0292690535796023	0.908909277698913	9.25198068947847	0
Serotype_4	Population_A	Gene1_A	0.0277503171470016	0.000624277781675576	1	955	72100	2	0.0553	24	0	0.0255930613631559	0.0168344014508866	0.0370335742652895	1	1	1	7.94323820128126e-05	1.50029611034148e-05	0.000459424710304838	0.566934532128159	0.128320255210688	2.07508359372912	0.0777380587190459	0.872761158022292	9.25198068947847	0
Serotype_5	Population_A	Gene1_A	0.0457573050982319	0.000361271220343049	1	955	72100	2	0.0553	49	0	0.0520200319743182	0.0389165567874122	0.0672504303708178	1	1	1	1.2210014867313e-05	1.40676118076566e-06	0.000111604366116664	0.566934532128159	0.128320255210688	2.07508359372912	0.136868350586676	0.966202636191948	9.25198068947847	0
Serotype_6	Population_A	Gene1_A	0.0383026393712498	0.0551160483973277	1	955	72100	2	0.0553	39	24	0.0455061400673795	0.0344284089556527	0.0585462246005465	1	1	1	0.0053260648349435	0.00142434550814157	0.0237605522680858	0.566934532128159	0.128320255210688	2.07508359372912	0.18806799777711	0.903366351728479	9.25198068947847	0
Serotype_7	Population_A	Gene1_A	0.0187758074258454	1.69363031133799e-05	1	955	72100	2	0.0553	17	0	0.0185150539754703	0.0113323560320011	0.0280548812429962	1	1	1	1.01005899741946e-05	1.28255380479858e-06	9.12459825986438e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0138877356622319	0.403613060856531	9.25198068947847	0
Serotype_8	Population_A	Gene1_A	0.0242030469351448	0.00609865355644351	1	955	72100	2	0.0553	17	2	0.0195650927422701	0.0122631764000258	0.029310193962826	1	1	1	0.000584939359694556	0.000144798856902878	0.00276779992624165	0.566934532128159	0.128320255210688	2.07508359372912	0.191626872653789	0.904087130990325	9.25198068947847	0
Serotype_9	Population_A	Gene1_A	0.0419272088445723	0.00768771721786772	1	955	72100	2	0.0553	32	3	0.0348540520528662	0.0249192368590613	0.0474531763972092	1	1	1	0.000819696733893224	0.000210342649427584	0.00370938788988802	0.566934532128159	0.128320255210688	2.07508359372912	0.168700874363636	0.893375795354687	9.25198068947847	0
Serotype_10	Population_A	Gene1_A	0.00192810532171279	0.00915736905140876	1	955	72100	2	0.0553	1	0	0.00158758014329023	0.000222150057003061	0.00534172040804238	1	1	1	0.0010189296236015	0.000266133741010298	0.00468223228387097	0.566934532128159	0.128320255210688	2.07508359372912	0.176611295341512	0.888731182735859	9.25198068947847	0
Serotype_11	Population_A	Gene1_A	0.0325825384934433	0.00522944348484999	1	955	72100	2	0.0553	34	0	0.0349538105297604	0.0247445621920905	0.0472856528940575	1	1	1	0.00045041644174081	0.000115672641546816	0.00212807734188788	0.566934532128159	0.128320255210688	2.07508359372912	0.0727773877039774	0.913869144384925	9.25198068947847	0
Serotype_12	Population_A	Gene1_A	0.0114154860028066	0.00171333895893638	1	955	72100	2	0.0553	12	0	0.0130240336166523	0.00713777861639237	0.02156565243283	1	1	1	0.0001915960444349	4.1561226282231e-05	0.000993746558792818	0.566934532128159	0.128320255210688	2.07508359372912	0.140909253749709	0.888173882094037	9.25198068947847	0
Serotype_13	Population_A	Gene1_A	0.0346443257411011	0.0211797975556686	1	955	72100	2	0.0553	39	3	0.0379056549392018	0.0277733226220629	0.0503417066475878	1	1	1	0.00205898702020449	0.000551335488194067	0.00927865017690677	0.566934532128159	0.128320255210688	2.07508359372912	0.0941374706632443	0.902785330464435	9.25198068947847	0
Serotype_14	Population_A	Gene1_A	0.0181512338807806	1.51053280711885e-05	1	955	72100	2	0.0553	14	0	0.0153932974430502	0.00902212168792263	0.0242196773874594	1	1	1	3.16878813740749e-06	1.05494226525854e-06	3.58237339384754e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.151942091421711	0.790220502164958	9.25198068947847	0
Serotype_15	Population_A	Gene1_A	0.0153445535339415	0.00159293845675666	1	955	72100	2	0.0553	21	0	0.022436046550654	0.0142538721801142	0.0333158175207518	1	1	1	0.000138473458120253	3.19010471042279e-05	0.000674303033902352	0.566934532128159	0.128320255210688	2.07508359372912	0.462150495355004	0.913070428092874	9.25198068947847	0
Serotype_16	Population_A	Gene1_A	0.0205883290385827	2.15697089724176e-05	1	955	72100	2	0.0553	21	0	0.0226332231501202	0.0146591341027189	0.0333554018892748	1	1	1	3.34979205344244e-06	1.0649078678035e-06	3.81824109800762e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0993229760271117	0.844699246627481	9.25198068947847	0
Serotype_17	Population_A	Gene1_A	0.0191243806388229	4.96360232812137e-05	1	955	72100	2	0.0553	23	0	0.0247837783227046	0.0162410832151293	0.0358709967085092	1	1	1	3.49993402632356e-06	1.05211602398701e-06	4.15425951639031e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.295925802292022	0.929488025128552	9.25198068947847	0
Serotype_18	Population_A	Gene1_A	0.0278499546227977	0.0284992836819387	1	955	72100	2	0.0553	27	5	0.027962421972578	0.0194484202001209	0.0389276265801295	1	1	1	0.00257326737494304	0.00068652238069588	0.0116439633922722	0.566934532128159	0.128320255210688	2.07508359372912	0.00403833152705767	0.909707647263646	9.25198068947847	0
Serotype_19	Population_A	Gene1_A	0.0285129898344167	0.00499501697873601	1	955	72100	2	0.0553	34	0	0.0350329508933795	0.0248162863411939	0.0474313238557018	1	1	1	0.000411502834259686	9.97470771924518e-05	0.00200569263308286	0.566934532128159	0.128320255210688	2.07508359372912	0.228666341089663	0.917617330229012	9.25198068947847	0
Serotype_20	Population_A	Gene1_A	0.0183178752893582	0.0261759830892973	1	955	72100	2	0.0553	11	4	0.0134825007040724	0.00785650960165478	0.0212925245954803	1	1	1	0.00244332087533237	0.000646598625577623	0.010947219292899	0.566934532128159	0.128320255210688	2.07508359372912	0.26397027542244	0.906657913592121	9.25198068947847	0
Serotype_1	Population_B	Gene1_A	0.0318577995058149	0.00192366131736158	0.438525533254239	965	375151	3	0.0553	30	5	0.0348253441201233	0.0243886128729351	0.0475063225690455	0.421301184740522	0.306797269406926	0.581778001903997	0.000203617631925335	4.53288447321467e-05	0.00104405095554765	0.566934532128159	0.128320255210688	2.07508359372912	0.0931497046356501	0.894150997325969	9.25198068947847	0.0392778691491412
Serotype_2	Population_B	Gene1_A	0.0226776327239349	7.10537281277665e-05	0.438525533254239	965	375151	3	0.0553	17	0	0.018260987614559	0.0109169788449369	0.0281656369150715	0.421301184740522	0.306797269406926	0.581778001903997	3.7910214095236e-06	1.06999759025287e-06	4.76897479385222e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.194757766965439	0.946645707277925	9.25198068947847	0.0392778691491412
Serotype_3	Population_B	Gene1_A	0.00458604036830366	0.00166667292466383	0.438525533254239	965	375151	3	0.0553	4	0	0.00460700112462538	0.00159045355261181	0.0101885322826908	0.421301184740522	0.306797269406926	0.581778001903997	0.000151818440547293	2.78259432827072e-05	0.000835717634048202	0.566934532128159	0.128320255210688	2.07508359372912	0.00457055643613369	0.908909277698913	9.25198068947847	0.0392778691491412
Serotype_4	Population_B	Gene1_A	0.0031120166531764	0.000624277781675576	0.438525533254239	965	375151	3	0.0553	2	0	0.00271794206883147	0.000636404786797541	0.00736083217472579	0.421301184740522	0.306797269406926	0.581778001903997	7.94323820128126e-05	1.50029611034148e-05	0.000459424710304838	0.566934532128159	0.128320255210688	2.07508359372912	0.126629972864284	0.872761158022292	9.25198068947847	0.0392778691491412
Serotype_5	Population_B	Gene1_A	0.0471984163159505	0.000361271220343049	0.438525533254239	965	375151	3	0.0553	41	0	0.0429882164969866	0.0312463969025926	0.0571318318836699	0.421301184740522	0.306797269406926	0.581778001903997	1.2210014867313e-05	1.40676118076566e-06	0.000111604366116664	0.566934532128159	0.128320255210688	2.07508359372912	0.0892021416731518	0.966202636191948	9.25198068947847	0.0392778691491412
Serotype_6	Population_B	Gene1_A	0.0139290845836513	0.0551160483973277	0.438525533254239	965	375151	3	0.0553	15	26	0.0172945794820658	0.0121918139723745	0.0238633688684885	0.421301184740522	0.306797269406926	0.581778001903997	0.0053260648349435	0.00142434550814157	0.0237605522680858	0.566934532128159	0.128320255210688	2.07508359372912	0.241616373150946	0.903366351728479	9.25198068947847	0.0392778691491412
Serotype_7	Population_B	Gene1_A	0.0322776371380314	1.69363031133799e-05	0.438525533254239	965	375151	3	0.0553	28	0	0.0296205466250452	0.020176797596217	0.041330435198345	0.421301184740522	0.306797269406926	0.581778001903997	1.01005899741946e-05	1.28255380479858e-06	9.12459825986438e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0823198582233095	0.403613060856531	9.25198068947847	0.0392778691491412
Serotype_8	Population_B	Gene1_A	0.0116216049762443	0.00609865355644351	0.438525533254239	965	375151	3	0.0553	12	3	0.0138350461746627	0.00802059931090024	0.0219734283645124	0.421301184740522	0.306797269406926	0.581778001903997	0.000584939359694556	0.000144798856902878	0.00276779992624165	0.566934532128159	0.128320255210688	2.07508359372912	0.190459166607619	0.904087130990325	9.25198068947847	0.0392778691491412
Serotype_9	Population_B	Gene1_A	0.0340815762523562	0.00768771721786772	0.438525533254239	965	375151	3	0.0553	27	5	0.0276010541683301	0.0190312377613333	0.0379423716506644	0.421301184740522	0.306797269406926	0.581778001903997	0.000819696733893224	0.000210342649427584	0.00370938788988802	0.566934532128159	0.128320255210688	2.07508359372912	0.190147369829411	0.893375795354687	9.25198068947847	0.0392778691491412
Serotype_10	Population_B	Gene1_A	0.0368539439863525	0.00915736905140876	0.438525533254239	965	375151	3	0.0553	35	13	0.0390803334939157	0.0291601060413459	0.0512111480137526	0.421301184740522	0.306797269406926	0.581778001903997	0.0010189296236015	0.000266133741010298	0.00468223228387097	0.566934532128159	0.128320255210688	2.07508359372912	0.0604111600209638	0.888731182735859	9.25198068947847	0.0392778691491412
Serotype_11	Population_B	Gene1_A	0.0313031798927113	0.00522944348484999	0.438525533254239	965	375151	3	0.0553	29	7	0.0335268310801973	0.0238286466756103	0.0451168822781926	0.421301184740522	0.306797269406926	0.581778001903997	0.00045041644174081	0.000115672641546816	0.00212807734188788	0.566934532128159	0.128320255210688	2.07508359372912	0.0710359521015864	0.913869144384925	9.25198068947847	0.0392778691491412
Serotype_12	Population_B	Gene1_A	0.0120771924150176	0.00171333895893638	0.438525533254239	965	375151	3	0.0553	17	1	0.0182608196094437	0.0112527756419379	0.0278319399844912	0.421301184740522	0.306797269406926	0.581778001903997	0.0001915960444349	4.1561226282231e-05	0.000993746558792818	0.566934532128159	0.128320255210688	2.07508359372912	0.512008667406581	0.888173882094037	9.25198068947847	0.0392778691491412
Serotype_13	Population_B	Gene1_A	0.0478680737083778	0.0211797975556686	0.438525533254239	965	375151	3	0.0553	54	32	0.056788797638974	0.0449606096134042	0.0708881981235309	0.421301184740522	0.306797269406926	0.581778001903997	0.00205898702020449	0.000551335488194067	0.00927865017690677	0.566934532128159	0.128320255210688	2.07508359372912	0.186360620754099	0.902785330464435	9.25198068947847	0.0392778691491412
Serotype_14	Population_B	Gene1_A	0.0298971617012285	1.51053280711885e-05	0.438525533254239	965	375151	3	0.0553	26	0	0.0274979309073387	0.0183722572949697	0.0392612328017867	0.421301184740522	0.306797269406926	0.581778001903997	3.16878813740749e-06	1.05494226525854e-06	3.58237339384754e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0802494503614112	0.790220502164958	9.25198068947847	0.0392778691491412
Serotype_15	Population_B	Gene1_A	0.0434142664424144	0.00159293845675666	0.438525533254239	965	375151	3	0.0553	45	0	0.0455798433340738	0.0338126600116708	0.0596115641514961	0.421301184740522	0.306797269406926	0.581778001903997	0.000138473458120253	3.19010471042279e-05	0.000674303033902352	0.566934532128159	0.128320255210688	2.07508359372912	0.0498816879592299	0.913070428092874	9.25198068947847	0.0392778691491412
Serotype_16	Population_B	Gene1_A	0.0283990809111856	2.15697089724176e-05	0.438525533254239	965	375151	3	0.0553	37	0	0.0389693722813595	0.0279611119480343	0.0525573882983607	0.421301184740522	0.306797269406926	0.581778001903997	3.34979205344244e-06	1.0649078678035e-06	3.81824109800762e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.372205403521017	0.844699246627481	9.25198068947847	0.0392778691491412
Serotype_17	Population_B	Gene1_A	0.0452540355734527	4.96360232812137e-05	0.438525533254239	965	375151	3	0.0553	58	0	0.0606819374258696	0.0472605962520479	0.0767181634244893	0.421301184740522	0.306797269406926	0.581778001903997	3.49993402632356e-06	1.05211602398701e-06	4.15425951639031e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.340917702850512	0.929488025128552	9.25198068947847	0.0392778691491412
Serotype_18	Population_B	Gene1_A	0.00303050444927067	0.0284992836819387	0.438525533254239	965	375151	3	0.0553	1	2	0.00218463558529078	0.000645922566744279	0.00535046598023628	0.421301184740522	0.306797269406926	0.581778001903997	0.00257326737494304	0.00068652238069588	0.0116439633922722	0.566934532128159	0.128320255210688	2.07508359372912	0.279118172614284	0.909707647263646	9.25198068947847	0.0392778691491412
Serotype_19	Population_B	Gene1_A	0.00947072863345966	0.00499501697873601	0.438525533254239	965	375151	3	0.0553	13	0	0.0126538233638047	0.00695671072780124	0.0207600596229594	0.421301184740522	0.306797269406926	0.581778001903997	0.000411502834259686	9.97470771924518e-05	0.00200569263308286	0.566934532128159	0.128320255210688	2.07508359372912	0.33609818774654	0.917617330229012	9.25198068947847	0.0392778691491412
Serotype_20	Population_B	Gene1_A	0.0274302609846927	0.0261759830892973	0.438525533254239	965	375151	3	0.0553	21	15	0.022434846955013	0.0154965009835937	0.0311554461261695	0.421301184740522	0.306797269406926	0.581778001903997	0.00244332087533237	0.000646598625577623	0.010947219292899	0.566934532128159	0.128320255210688	2.07508359372912	0.182113251947089	0.906657913592121	9.25198068947847	0.0392778691491412
Serotype_1	Population_B	Gene1_A	0.00792214482789859	0.00192366131736158	0.438525533254239	965	375151	3	0.0553	10	1	0.011421875993054	0.00597422654068067	0.0193186714591875	0.421301184740522	0.306797269406926	0.581778001903997	0.000203617631925335	4.53288447321467e-05	0.00104405095554765	0.566934532128159	0.128320255210688	2.07508359372912	0.441765612871756	0.894150997325969	9.25198068947847	0.0392778691491412
Serotype_2	Population_B	Gene1_A	0.0270265608094633	7.10537281277665e-05	0.438525533254239	965	375151	3	0.0553	28	0	0.0296447527446615	0.0202115385980022	0.0417185311502366	0.421301184740522	0.306797269406926	0.581778001903997	3.7910214095236e-06	1.06999759025287e-06	4.76897479385222e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0968747726969942	0.946645707277925	9.25198068947847	0.0392778691491412
Serotype_3	Population_B	Gene1_A	0.0158902276190929	0.00166667292466383	0.438525533254239	965	375151	3	0.0553	16	1	0.0174580041961786	0.0104428266716033	0.0268460275730484	0.421301184740522	0.306797269406926	0.581778001903997	0.000151818440547293	2.78259432827072e-05	0.000835717634048202	0.566934532128159	0.128320255210688	2.07508359372912	0.0986629401835608	0.908909277698913	9.25198068947847	0.0392778691491412
Serotype_4	Population_B	Gene1_A	0.0133766027982347	0.000624277781675576	0.438525533254239	965	375151	3	0.0553	14	1	0.0157804391276875	0.00920706016569641	0.0247025798096496	0.421301184740522	0.306797269406926	0.581778001903997	7.94323820128126e-05	1.50029611034148e-05	0.000459424710304838	0.566934532128159	0.128320255210688	2.07508359372912	0.179704545743863	0.872761158022292	9.25198068947847	0.0392778691491412
Serotype_5	Population_B	Gene1_A	0.0481973820948042	0.000361271220343049	0.438525533254239	965	375151	3	0.0553	55	0	0.0573961089405171	0.0437206288661919	0.0730885309970558	0.421301184740522	0.306797269406926	0.581778001903997	1.2210014867313e-05	1.40676118076566e-06	0.000111604366116664	0.566934532128159	0.128320255210688	2.07508359372912	0.190855321303945	0.966202636191948	9.25198068947847	0.0392778691491412
Serotype_6	Population_B	Gene1_A	0.0351819290430285	0.0551160483973277	0.438525533254239	965	375151	3	0.0553	38	55	0.0390063757961216	0.0302086001996352	0.0496140103736082	0.421301184740522	0.306797269406926	0.581778001903997	0.0053260648349435	0.00142434550814157	0.0237605522680858	0.566934532128159	0.128320255210688	2.07508359372912	0.108704862329059	0.903366351728479	9.25198068947847	0.0392778691491412
Serotype_7	Population_B	Gene1_A	0.00204682376934215	1.69363031133799e-05	0.438525533254239	965	375151	3	0.0553	1	0	0.0017369201908607	0.000260324291169633	0.0058379310668409	0.421301184740522	0.306797269406926	0.581778001903997	1.01005899741946e-05	1.28255380479858e-06	9.12459825986438e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.151407064508077	0.403613060856531	9.25198068947847	0.0392778691491412
Serotype_8	Population_B	Gene1_A	0.0261694009066559	0.00609865355644351	0.438525533254239	965	375151	3	0.0553	24	4	0.025328293971139	0.0171863270096228	0.035965173792252	0.421301184740522	0.306797269406926	0.581778001903997	0.000584939359694556	0.000144798856902878	0.00276779992624165	0.566934532128159	0.128320255210688	2.07508359372912	0.0321408555937955	0.904087130990325	9.25198068947847	0.0392778691491412
Serotype_9	Population_B	Gene1_A	0.0317030120640993	0.00768771721786772	0.438525533254239	965	375151	3	0.0553	32	3	0.0302100631776852	0.0214077759530309	0.0411840151810831	0.421301184740522	0.306797269406926	0.581778001903997	0.000819696733893224	0.000210342649427584	0.00370938788988802	0.566934532128159	0.128320255210688	2.07508359372912	0.0470917048321947	0.893375795354687	9.25198068947847	0.0392778691491412
Serotype_10	Population_B	Gene1_A	0.0216411999543197	0.00915736905140876	0.438525533254239	965	375151	3	0.0553	22	6	0.0230353352104394	0.0154519719138518	0.0323562289767348	0.421301184740522	0.306797269406926	0.581778001903997	0.0010189296236015	0.000266133741010298	0.00468223228387097	0.566934532128159	0.128320255210688	2.07508359372912	0.0644204230385732	0.888731182735859	9.25198068947847	0.0392778691491412
Serotype_11	Population_B	Gene1_A	0.0176143828430213	0.00522944348484999	0.438525533254239	965	375151	3	0.0553	14	0	0.0134324408626708	0.00764942408101125	0.0214248182505818	0.421301184740522	0.306797269406926	0.581778001903997	0.00045041644174081	0.000115672641546816	0.00212807734188788	0.566934532128159	0.128320255210688	2.07508359372912	0.237416321515199	0.913869144384925	9.25198068947847	0.0392778691491412
Serotype_12	Population_B	Gene1_A	0.0293468654039316	0.00171333895893638	0.438525533254239	965	375151	3	0.0553	25	2	0.0271318414421298	0.0181319158027675	0.0387211577234228	0.421301184740522	0.306797269406926	0.581778001903997	0.0001915960444349	4.1561226282231e-05	0.000993746558792818	0.566934532128159	0.128320255210688	2.07508359372912	0.0754773612552527	0.888173882094037	9.25198068947847	0.0392778691491412
Serotype_13	Population_B	Gene1_A	0.0276714506442659	0.0211797975556686	0.438525533254239	965	375151	3	0.0553	30	19	0.0324176238887444	0.0241684575607607	0.0425666394464007	0.421301184740522	0.306797269406926	0.581778001903997	0.00205898702020449	0.000551335488194067	0.00927865017690677	0.566934532128159	0.128320255210688	2.07508359372912	0.171518772380012	0.902785330464435	9.25198068947847	0.0392778691491412
Serotype_14	Population_B	Gene1_A	0.0118981225183234	1.51053280711885e-05	0.438525533254239	965	375151	3	0.0553	12	0	0.0130713946922244	0.00695208266350465	0.021885267650511	0.421301184740522	0.306797269406926	0.581778001903997	3.16878813740749e-06	1.05494226525854e-06	3.58237339384754e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0986098581599034	0.790220502164958	9.25198068947847	0.0392778691491412
